0 461128.0278246243 461128.0278246243
0.01 359767.6242743074 359767.6242743074
0.02 280687.2211280044 280687.2211280044
0.03 218989.45859547178 218989.45859547178
0.04 170853.46398114786 170853.46398114786
0.05 133298.22939882992 133298.22939882992
0.06 103998.00135547863 103998.00135547863
0.07 81138.24949177197 81138.24949177197
0.08 63303.294787897765 63303.294787897765
0.09 49388.63817762127 49388.63817762127
0.1 38532.56018176214 38532.56018176214
0.11 30062.755604450795 30062.755604450795
0.12 23454.698439814034 23454.698439814034
0.13 18299.158575284047 18299.158575284047
0.14 14276.858638043883 14276.858638043883
0.15 11138.701512038382 11138.701512038382
0.16 8690.344038248903 8690.344038248903
0.17 6780.161565099086 6780.161565099086
0.18 5289.858007336993 5289.858007336993
0.19 4127.139905058746 4127.139905058746
0.2 3220.0007957113708 3220.0007957113708
0.21 2512.2619367566176 2512.2619367566176
0.22 1960.093221039393 1960.093221039393
0.23 1529.2988291190727 1529.2988291190727
0.24 1193.1995221085272 1193.1995221085272
0.25 930.9804278305597 930.9804278305597
0.26 726.4020005705455 726.4020005705455
0.27 566.7943256296278 566.7943256296278
0.28 442.2724871021961 442.2724871021961
0.29 345.1244074938711 345.1244074938711
0.3 269.33324877980385 269.33324877980385
0.31 210.2047977389416 210.2047977389416
0.32 164.07675995577256 164.07675995577256
0.33 128.09195939090603 128.09195939090603
0.34 100.02139802040237 100.02139802040237
0.35000000000000003 78.12621782062234 78.12621782062234
0.36 61.050016553006145 61.050016553006145
0.37 47.73484857924928 47.73484857924928
0.38 37.35570872420306 37.35570872420306
0.39 29.269441837926916 29.269441837926916
0.4 22.974914075543104 22.974914075543104
0.41000000000000003 18.081979339103665 18.081979339103665
0.42 14.287319000340142 14.287319000340142
0.43 11.355658678007941 11.355658678007941
0.44 9.105198838872338 9.105198838872338
0.45 7.396356949229543 7.396356949229543
0.46 6.123123985029407 6.123123985029407
0.47000000000000003 5.206500013603597 5.206500013603597
0.48 4.589602315284404 4.589602315284404
0.49 4.234143092485932 4.234143092485932
0.5 4.118058631648872 4.118058631648872
0.51 4.234143092485865 4.234143092485865
0.52 4.589602315284262 4.589602315284262
0.53 5.206500013603369 5.206500013603369
0.54 6.123123985029085 6.123123985029085
0.55 7.396356949229104 7.396356949229104
0.56 9.105198838871758 9.105198838871758
0.5700000000000001 11.355658678007169 11.355658678007169
0.58 14.287319000339133 14.287319000339133
0.59 18.08197933910235 18.08197933910235
0.6 22.9749140755414 22.9749140755414
0.61 29.26944183792471 29.26944183792471
0.62 37.35570872420021 37.35570872420021
0.63 47.73484857924561 47.73484857924561
0.64 61.05001655300136 61.05001655300136
0.65 78.12621782061616 78.12621782061616
0.66 100.02139802039436 100.02139802039436
0.67 128.09195939089562 128.09195939089562
0.68 164.0767599557591 164.0767599557591
0.6900000000000001 210.2047977389241 210.2047977389241
0.7000000000000001 269.33324877978123 269.33324877978123
0.71 345.1244074938417 345.1244074938417
0.72 442.2724871021581 442.2724871021581
0.73 566.7943256295786 566.7943256295786
0.74 726.4020005704822 726.4020005704822
0.75 930.9804278304775 930.9804278304775
0.76 1193.1995221084212 1193.1995221084212
0.77 1529.298829118936 1529.298829118936
0.78 1960.093221039217 1960.093221039217
0.79 2512.26193675639 2512.26193675639
0.8 3220.000795711076 3220.000795711076
0.81 4127.139905058368 4127.139905058368
0.8200000000000001 5289.858007336504 5289.858007336504
0.8300000000000001 6780.161565098452 6780.161565098452
0.84 8690.344038248084 8690.344038248084
0.85 11138.701512037323 11138.701512037323
0.86 14276.858638042511 14276.858638042511
0.87 18299.158575282272 18299.158575282272
0.88 23454.698439811742 23454.698439811742
0.89 30062.75560444782 30062.75560444782
0.9 38532.5601817583 38532.5601817583
0.91 49388.6381776163 49388.6381776163
0.92 63303.29478789138 63303.29478789138
0.93 81138.24949176377 81138.24949176377
0.9400000000000001 103998.001355468 103998.001355468
0.9500000000000001 133298.22939881633 133298.22939881633
0.96 170853.46398113057 170853.46398113057
0.97 218989.4585954498 218989.4585954498
0.98 280687.22112797643 280687.22112797643
0.99 359767.6242742713 359767.6242742713
1 461128.02782457834 461128.02782457834
